dirname,filename,std,mean
0523 simple recirc 1 ml hr,D21_device2_t8-1,80.31414469144732,92.10856646369486
0523 simple recirc 1 ml hr,D28_device4_t2,87.0856007685501,124.34319493910846
0523 simple recirc 1 ml hr,D14_Device2_t8,104.31983379914321,140.1549129710478
0523 simple recirc 1 ml hr,D14_Device5_t1,90.53709445855634,164.9529821059283
0523 simple recirc 1 ml hr,D28_device2_t5,88.34101606380283,136.43228544347426
0523 simple recirc 1 ml hr,D28_device2_t4,83.07969387756968,104.75458912568934
0523 simple recirc 1 ml hr,D28_device4_t3-1,73.62566935083716,80.85484690946691
0523 simple recirc 1 ml hr,D14_Device5_t2,90.83193725134872,134.41800178079043
0523 simple recirc 1 ml hr,D28_device2_t6,89.60319187474549,125.31203397863051
0523 simple recirc 1 ml hr,D21_device4_t8-1,86.98200347439588,127.86230971392463
