Date,Condition,Label,quality based on d35 (good vs bad),Scaling ,Deviation_from_scaling_absolute,Deviation_from_scaling_normalized,d14_Area (um2),d14_Diameter (um),d14_circularity,d14_perimeter (um),d14_aspect ratio,d14_solidity,d21_Area (um2),d21_Diameter (um),d21_circularity,d21_perimeter (um),d21_aspect ratio,d21_solidity,d28_Area (um2),d28_Diameter (um),d28_circularity,d28_perimeter (um),d28_aspect ratio,d28_solidity,d35_Area (um2),d35_Diameter (um),d35_circularity,d35_perimeter (um),d35_aspect ratio,d35_solidity
8/22/2019,"peristaltic 11 ml/hr",D15_device1_t4.png,1,0.6716,0.1716,0.3432,920749.8274,1082.744241,0.718,16114879.63,1.109,0.956,1338025.883,1305.23081,0.902,18640941.4,1.104,0.974,2056470.343,1618.140712,0.857,30154455.65,1.16,0.961,3209448.151,2021.483689,0.827,48767974.53,1.17,0.961
8/22/2019,"peristaltic 11 ml/hr",D15_device1_t5.png,1,0.6804,0.1804,0.3608,570535.3157,852.30753,0.629,11398343.76,1.234,0.927,828852.0831,1027.291219,0.914,11395691.97,1.214,0.983,1205705.606,1239.012533,0.883,17158939.41,1.223,0.97,2080893.241,1627.720972,0.842,31056146.88,1.211,0.971
8/22/2019,"peristaltic 11 ml/hr",D15_device1_t6.png,1,0.4441,0.0559,0.1118,1067880.543,1166.047913,0.521,25756972.5,1.155,0.926,1182677.289,1227.123259,0.93,15980603.37,1.116,0.987,1619911.051,1436.15278,0.928,21935778.69,1.018,0.983,2482620.998,1777.912042,0.97,32162407.79,1.057,0.995
8/22/2019,"peristaltic 11 ml/hr",D15_device2_t2.png,1,0.7034,0.2034,0.4068,861434.5408,1047.288175,0.668,16205248.05,1.137,0.915,1377801.838,1324.489254,0.79,21916415.85,1.168,0.924,2042255.771,1612.538622,0.811,31644565.85,1.147,0.943,3212929.53,2022.579771,0.855,47222062.26,1.314,0.966
8/22/2019,"peristaltic 11 ml/hr",D15_device2_t3.png,1,0.5273,0.0273,0.0546,941491.0339,1094.871506,0.725,16318793.47,1.044,0.949,1126866.201,1197.819105,0.941,15048478.55,1.056,0.988,1599129.275,1426.91087,0.831,24182010.98,1.282,0.955,2559769.158,1805.325267,0.874,36804356.9,1.215,0.967
8/22/2019,"peristaltic 11 ml/hr",D15_device2_t5.png,1,0.6085,0.1085,0.217,609974.0353,881.2735461,0.71,10795999.71,1.111,0.941,804416.5076,1012.035033,0.832,12149754.76,1.188,0.953,1192206.073,1232.056783,0.825,18159640.44,1.119,0.95,1913236.845,1560.771863,0.806,29829334.08,1.139,0.949
8/22/2019,"peristaltic 11 ml/hr",D15_device2_t6.png,1,0.4512,0.0488,0.0976,1231015.964,1251.949762,0.54,28647042.29,1.007,0.89,1538391.517,1399.550254,0.886,21819410.78,1.139,0.979,2396889.833,1746.944452,0.818,36821767.68,1.048,0.954,2669798.977,1843.717341,0.838,40035421.73,1.046,0.961
8/22/2019,"peristaltic 11 ml/hr",D15_device2_t7.png,1,0.6608,0.1608,0.3216,781124.4877,997.2755823,0.658,14917780.86,1.187,0.929,1147653.049,1208.816465,0.876,16463280.3,1.221,0.966,1653337.863,1450.894603,0.853,24356924.2,1.256,0.961,2729849.588,1864.336999,0.869,39475606.03,1.226,0.971
8/22/2019,"peristaltic 11 ml/hr",D15_device2_t8.png,1,0.6687,0.1687,0.3374,743828.3499,973.1760733,0.59,15842750.37,1.156,0.923,1103984.948,1185.595755,0.889,15605268.86,1.118,0.968,1581930.301,1419.216762,0.947,20991681.57,1.047,0.988,2647551.624,1836.019451,0.938,35469205.68,1.039,0.989
6/5/2021,"peristaltic 23 ml/hr",D15_device1_t1,1,0.5066,0.0066,0.0132,678729.3601,929.615545,0.788,10823813.05,1.176,0.961,772584.5875,991.8090786,0.843,11516707.3,1.213,0.972,1143350.136,1206.54822,0.848,16943115.03,1.238,0.976,1745354.781,1490.722887,0.724,30293888.16,1.54,0.918
6/5/2021,"peristaltic 23 ml/hr",D15_device1_t2,1,0.3082,0.1918,0.3836,750339.7702,977.4263489,0.862,10938570.35,1.126,0.977,931954.643,1089.3124,0.855,13697412.21,1.064,0.968,1309414.175,1291.200181,0.834,19729716.8,1.201,0.964,1453580.774,1360.425126,0.738,24750995.56,1.232,0.934
6/5/2021,"peristaltic 23 ml/hr",D15_device1_t3,1,0.6373,0.1373,0.2746,472633.271,775.7418197,0.881,6741526.502,1.143,0.982,1016377.439,1137.581622,0.799,15985200.98,1.557,0.963,1273702.787,1273.471145,0.757,21143753.33,1.287,0.939,1534446.123,1397.754443,0.824,23400993.54,1.208,0.964
6/5/2021,"peristaltic 23 ml/hr",D15_device1_t6,1,0.3844,0.1156,0.2312,568793.3586,851.0054036,0.769,9294757.019,1.237,0.948,1169094.081,1220.05607,0.7,20987527.86,1.46,0.928,1446136.253,1356.936942,0.694,26185423.79,1.292,0.921,1055372.429,1159.198823,0.842,15750832.63,1.173,0.975
6/5/2021,"peristaltic 23 ml/hr",D15_device2_t3,0,0.474,0.026,0.052,734811.7569,967.2597308,0.817,11302223.83,1.076,0.966,931477.9502,1089.033774,0.781,14987576.37,1.129,0.947,1180818.694,1226.158659,0.821,18073818.93,1.228,0.962,1839435.677,1530.373237,0.725,31882800.6,1.15,0.937
6/5/2021,"peristaltic 23 ml/hr",D15_device2_t5,1,0.377,0.123,0.246,714965.6171,954.1082207,0.762,11790712.5,1.119,0.948,978815.0633,1116.362865,0.71,17324158.94,1.153,0.937,1127353.036,1198.077822,0.807,17554815.45,1.01,0.967,1474382.835,1370.125005,0.776,23875826.2,1.566,0.943
6/5/2021,"peristaltic 23 ml/hr",D15_device3_t1,0,0.4829,0.0171,0.0342,717250.1926,955.6313665,0.836,10781377.68,1.544,0.973,1097045.012,1181.863398,0.742,18579345.28,1.477,0.907,1364084.243,1317.879357,0.825,20777682.59,1.267,0.969,1773411.193,1502.656734,0.79,28209294.05,1.389,0.962
6/5/2021,"peristaltic 23 ml/hr",D15_device3_t6,0,0.8062,0.3062,0.6124,314356.059,632.6535904,0.813,4858935.722,1.262,0.974,570383.1797,852.1938864,0.845,8482421.809,1.138,0.971,1033875.613,1147.33226,0.778,16699311.22,1.679,0.951,1313651.162,1293.287519,0.666,24786527.57,1.571,0.897
