Organoid_ID,Label,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27
11,Bad,-5.121404358011166,-0.9377820489316128,-1.7499384560990665,-0.6895437311787583,-1.5019244781343648,-0.45403308807672393,0.3517377322846569,-0.6137148930604872,0.23224635072230365,-0.4845158566709746,-0.36086182698706026,-0.14035996603823667,-0.17122185393786324,0.014255353045479917,-0.025480689176490764,-0.18334625626083847,0.0779852754785082,0.08155926759632146,0.3529245793918035,0.11079669293360557,0.04623473707957788,0.10906026357005329,-0.06281449568925851,0.04838716853771774,-0.029891496238799945,0.029703837697759847,3.6532377658899616e-16
12,Bad,-2.617364049497535,2.820438451803727,-1.9397525378093328,-3.207667126971436,-1.7972156684808671,-0.3029717683942256,1.2218434365768147,-0.7234070828493762,0.8788749753916197,0.7572589282431027,-0.14879917732939013,1.5169281589617134,0.39388937865672113,-0.3029138617514738,0.012899919325053702,0.14698670906000783,0.011046843275035413,-0.21139080681897182,0.1297600890028641,-0.05040013577567812,0.18283269647351197,0.027415660735970716,-0.03585514953607482,0.017719080036703718,0.040694333736812804,-0.03232019262698124,9.480411633221868e-17
13,Bad,1.5884441156371047,6.4926978921466745,-2.7437060454194886,-1.470691116052425,0.27052013627678817,-0.5753316859770177,0.7381341040454041,-0.5463557982084213,0.8392961088470942,-1.567784384475204,0.5685722829491308,-1.1835374061399961,0.3162421504774759,-0.22653002764215027,0.2028181097424909,-0.294970546912602,-0.2871776831941859,0.15085432377105876,-0.0759714872363762,-0.00790151564134512,-0.06259560369391295,-0.001355568135227913,0.002288492567828059,-0.049149802716677134,-0.022231653730844576,0.001240512648876005,-2.5030271476390345e-17
14,Bad,-2.550229515581,1.3709512142459193,0.2558620056823818,-1.9810128579547492,1.2931526538383349,-1.4688680461351,0.7919713330158163,-0.6801083085641688,0.16450321603611656,0.5290712343737916,-0.49885729192907385,-0.5130954366597066,-0.6573923269582957,0.20781312032572763,-0.25201335784898576,0.22213908138451058,-0.11822621823021778,-0.05838754530399073,-0.07544704707264535,0.008336159476019699,0.0713410595184245,-0.022850011337375745,0.02535379621021048,0.037035852470940794,0.030980031601765646,-0.0011506562081372105,1.8286982249011778e-16
15,Good,-2.740495754215732,-1.4491549693920114,0.6624397774728086,-0.3435764108733003,-0.5430403711084736,1.2376985601534816,-0.7712190054592695,1.000045760846985,-0.26955454784663246,0.5709660859115775,1.5026170769898455,0.3812302211337233,0.3109565923003948,0.02423701730362971,-0.19289253484995755,-0.0300928037815133,-0.05377310968828866,-0.040609153507585934,-0.0213009145890714,0.16949351451874256,-0.051489293098838894,-0.014629242915152859,0.04078628848095917,0.014343582493982534,0.02264200626230923,-0.019868385963415964,-1.8052329193002272e-16
16,Good,-0.4447451646954609,-1.789613689699335,-0.8351657288654462,-0.4103308284691387,-0.9480284218415332,-0.20459915983234764,0.4228457098224956,0.20603819781522795,0.5991721940923062,-0.591719274470994,-1.0197851884904243,0.01785395365480793,0.5058448757046482,-0.11273839518531963,-0.362360475532333,0.21796640693041286,-0.06768744182571483,0.2815120947954867,-0.11816375981606803,-0.039275027535870484,0.005774017448334456,-0.039253336799675874,0.02440971512280467,0.007221849655532241,-0.011763073349607413,-0.012465732902212633,4.247896021442762e-17
17,Bad,-1.8535942999556287,1.4653700695928764,1.8366193797779733,0.12421571611311588,-1.7180380830160127,-2.1305463546692542,2.391929797496514,0.49691691072673166,1.140014672222171,0.9014274607342435,0.6587256978291387,-0.21550757841289234,-0.4616625869314566,0.1610250406503272,-0.24054928649301716,0.29843423082784054,0.15878973143179187,0.3754812182519132,-0.057733287779612535,0.0203365076236797,-0.0941678430466065,-0.024587187143372657,-0.068087773943473,0.03903950595204768,0.009878443676154827,0.04223512365155531,6.665633426640431e-18
18,Bad,2.863249170055005,1.554306441238271,0.8491222683616862,-1.9719678924951538,-2.0536031503003493,-1.2248606408973564,1.3033235442361968,0.286799667278788,-1.8501698585329982,1.7973280530554467,0.5073992732386825,-0.8421505747397515,-1.2868066077901559,0.33092638611238845,0.4523477591063585,-0.046372906966936286,0.007215767556815305,-0.049090347666859734,0.06475879229289422,-0.05566524633990117,-0.06790984232216667,0.01673626727835796,0.0737163936429409,-0.00012364800246706558,-0.015068320619028288,0.0010501928513090178,2.698895858330951e-16
19,Bad,1.1839672521977,3.6336889355874993,-0.24539184165596487,-3.725241487763452,1.4740772915501401,-1.3510568267906222,0.8107412401544775,-0.643702413066294,0.18900439681086473,-0.6802066319280697,0.6066373717795377,0.7870750467431689,1.0720783736913129,0.11355987117806898,-0.0759811675979783,-0.48050735217997426,0.13274991502226757,-0.021061417184834827,-0.14951628470710118,0.04745522052031926,-0.1055466152728318,-0.00559907734296808,-0.06567081168054505,0.012395101556865885,0.0005645303812950073,0.013623524330824472,1.5959314765730626e-16
20,Bad,-3.8605746826159026,3.525583856447372,3.4598608449338917,-0.013976588847684253,2.446723483277222,-1.7728005996797174,-1.1576973320167296,0.6201229172498836,-1.9540464808361426,-0.18577013513357796,-0.8579629192061551,-0.5917668822408665,-0.6910240968014073,-0.29064582623654395,-0.0936142156062645,0.28553806089281975,-0.007777899520467319,0.13660490114645837,-0.04591602520703116,-0.07480443299916141,0.06142236290639074,-0.05483038647007312,-0.02895025270208494,-0.062178089512965155,-0.028575148501414675,0.0036518003540312372,1.7739992988000664e-16
21,Good,-0.897993268531512,-3.0536862262420956,-0.37057350779646075,-0.46561511488246343,-0.4815418794041358,1.4197543642410917,0.14825242721342302,0.5233706937560093,0.04164109828915942,1.7548764153871625,0.00521413152635511,-0.253008433659545,0.3405121321765446,-0.02371215952488568,0.11583919391712295,-0.1758613012989271,0.0440557186830825,-0.023055320763640294,-0.003779673190296931,-0.005472345968948374,-0.06872254143906324,0.023838936081217857,-0.061319334705527966,-0.04198125446382024,-0.011671472960493956,-0.0008306669790045405,-2.437333103243266e-16
22,Bad,-1.0574867058210444,4.290943536230837,5.362674221166562,2.1058925360331724,-2.3514638316417167,0.35788218534731786,-0.45020995453007034,0.6153841905110949,1.7775685219291848,-1.75381544180479,-0.41321643170881645,1.287742345954892,-0.6713492296018546,0.44495859592034664,-0.081509343456114,-0.1536017772927453,0.2041489056081258,-0.22729145649220636,0.1398089034439665,-0.060800333408061506,-0.07770049790984036,-0.09465372998984938,0.03754145672876444,-0.0073094048816918075,-0.010156949971596,-0.01143761194750321,-1.343302399321522e-16
